loc_rowid,pl_name,hostname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_angsep,pl_angseperr1,pl_angseperr2,pl_angseplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_dist,sy_disterr1,sy_disterr2
3032,Kepler-1764 b,Kepler-1764,1,1,0,0,Transit,70.46829987,,,0,0.3512,,,0,0.228,,,0,4.555,,,0,18.8,,,0,1.09,,,0,0,,,0,2455022.161,0.00308,-0.00308,0,6.618,0.103,-0.103,0,0.02859,0.00066,-0.00053,0,,,,,1.13,0.36,-0.12,0,1.16,0.16,-0.16,0,4.4,0.07,-0.2,0,2.18989,0.03784,-0.92324,0,,,,,,,,,,,,,1542.48,61.7,-61.7
3033,Kepler-1765 b,Kepler-1765,1,1,0,0,Transit,10.41889954,,,0,0.0917,,,0,0.12,,,0,2.495,,,0,6.78,,,0,2.4,,,0,0,,,0,2454970.748,0.00167,-0.00167,0,3.0069,0.0485,-0.0485,0,0.02426,0.00071,-0.00034,0,,,,,1.06,0.31,-0.19,0,0.95,0.12,-0.09,0,4.36,0.13,-0.2,0,0.59531,2.86074,-0.29684,0,,,,,,,,,,,,,764.456,13.423,-12.975
3034,Kepler-1766 b,Kepler-1766,1,1,0,0,Transit,105.0149994,,,0,0.4229,,,0,0.844,,,0,2.279,,,0,5.81,,,0,2.7,,,0,0,,,0,2455061.945,0.0037,-0.0037,0,6.287,0.221,-0.221,0,0.01619,0.00241,-0.00076,0,,,,,1.04,0.14,-0.13,0,0.92,0.07,-0.06,0,4.36,0.12,-0.1,0,0.10302,2.74112,-0.14874,0,,,,,,,,,,,,,501.229,4.946,-4.852
3035,Kepler-1767 b,Kepler-1767,1,1,0,0,Transit,59.65829849,,,0,0.2873,,,0,0.35,,,0,3.013,,,0,9.34,,,0,1.88,,,0,0,,,0,2455001.088,0.00603,-0.00603,0,5.239,0.259,-0.259,0,0.03825,0.00022,-0.00943,0,,,,,0.83,0.07,-0.04,0,0.89,0.04,-0.05,0,4.55,0.03,-0.08,0,0.20596,5.86952,-0.02224,0,,,,,,,,,,,,,820.506,19.941,-19.941
3036,Kepler-1768 b,Kepler-1768,1,1,0,0,Transit,15.13589954,,,0,0.1286,,,0,0.203,,,0,2.233,,,0,5.62,,,0,2.77,,,0,0,,,0,2454979.583,0.00287,-0.00287,0,2.1846,0.0858,-0.0858,0,0.0149,0.00072,-0.00023,0,,,,,1.57,0.46,-0.46,0,1.24,0.17,-0.23,0,4.14,0.25,-0.17,0,8.46929,5.51131,-1.09954,0,,,,,,,,,,,,,632.766,5.956,-5.849
3037,Kepler-1769 b,Kepler-1769,1,1,0,0,Transit,89.1934967,,,0,0.3987,,,0,0.909,,,0,4.465,,,0,18.2,,,0,1.12,,,0,0,,,0,2455050.823,0.00104,-0.00104,0,4.013,0.0422,-0.0422,0,0.02715,0.0005,-0.00035,0,,,,,1.3,0.23,-0.21,0,1.06,0.11,-0.07,0,4.24,0.14,-0.12,0,12.62813,0.76789,-3.52954,0,,,,,,,,,,,,,438.412,4.5,-4.412
3038,Kepler-177 b,Kepler-177,1,2,0,0,Transit,36.8601,0.0015,-0.0014,0,0.2184,,,0,0.152,,,0,3.5,0.19,-0.15,0,5.84,0.86,-0.82,0,0.75,0.16,-0.14,0,0,,,0,2454971.907,0.00364,-0.00364,0,7.495,0.145,-0.145,0,0.02499,0.0005,-0.0005,0,,,,,1.32,0.05,-0.05,0,0.92,0.03,-0.02,0,4.1,0.1,-0.1,0,0.7906,0.04847,-0.27991,0,,,,,,,,,,,,,1435.44,42.1,-39.81
3039,Kepler-177 c,Kepler-177,1,2,0,0,Transit,49.40926,0.00078,-0.00077,0,0.2655,,,0,0.185,,,0,8.73,0.36,-0.34,0,14.7,2.7,-2.5,0,0.121,0.027,-0.025,0,0,,,0,2455031.239,0.000888,-0.000888,0,5.243,0.054,-0.054,0,0.06036,0.00045,-0.00047,0,,,,,1.32,0.05,-0.05,0,0.92,0.03,-0.02,0,4.1,0.1,-0.1,0,0.56415,0.08656,-0.04231,0,,,,,,,,,,,,,1435.44,42.1,-39.81
3040,Kepler-1770 b,Kepler-1770,1,1,0,0,Transit,16.84189987,,,0,0.1261,,,0,0.216,,,0,2.841,,,0,8.45,,,0,2.02,,,0,0,,,0,2454970.992,0.00181,-0.00181,0,2.5751,0.0586,-0.0586,0,0.02539,0.00044,-0.00044,0,,,,,1.01,0.27,-0.15,0,0.94,0.1,-0.09,0,4.4,0.12,-0.19,0,3.51751,5.08076,-3.17072,0,,,,,,,,,,,,,582.942,5.861,-5.748
3041,Kepler-1771 b,Kepler-1771,1,1,0,0,Transit,88.64399719,,,0,0.3815,,,0,0.674,,,0,4.055,,,0,15.5,,,0,1.28,,,0,0,,,0,2454978.472,0.00288,-0.00288,0,7.82,0.111,-0.111,0,0.02784,0.00044,-0.00044,0,,,,,0.93,0.12,-0.07,0,0.94,0.06,-0.06,0,4.47,0.06,-0.11,0,0.59555,0.87651,-0.28723,0,,,,,,,,,,,,,565.752,,
