loc_rowid,pl_name,hostname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_angsep,pl_angseperr1,pl_angseperr2,pl_angseplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_dist,sy_disterr1,sy_disterr2
1,11 Com b,11 Com,2,1,0,0,Radial Velocity,323.21,0.06,-0.05,0,1.178,0,0,0,12.6,,,0,12.2,,,0,4914.89849,39.09289,-39.72855,0,14.9,,,0,0.238,0.007,-0.007,0,,,,,,,,,,,,,,,,,13.76,2.85,-2.45,0,2.09,0.64,-0.63,0,2.45,0.08,-0.08,0,,,,,1.2,1,-1,0,,,,,43.37,0.21,-0.21,0,93.1846,1.9238,-1.9238
2,11 UMi b,11 UMi,1,1,0,0,Radial Velocity,516.21997,3.2,-3.2,0,1.53,0.07,-0.07,0,12.2,,,0,12.3,,,0,4684.8142,794.575,-794.575,0,13.8,,,0,0.08,0.03,-0.03,0,,,,,,,,,,,,,,,,,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,1.93,0.07,-0.07,0,,,,,1.5,,,0,,,,,-17.52,0.15,-0.15,0,125.321,1.9765,-1.9765
3,14 And b,14 And,1,1,0,0,Radial Velocity,186.76,0.11,-0.12,0,0.775,0,0,0,10.3,,,0,13.1,,,0,1131.1513,36.23244,-38.77507,0,2.76,,,0,0,,,0,,,,,,,,,,,,,,,,,11.55,1.12,-0.51,0,1.78,0.43,-0.29,0,2.55,0.06,-0.07,0,,,,,2.6,,,0,,,,,-59.73,0.31,-0.31,0,75.4392,0.714,-0.714
4,14 Her b,14 Her,1,2,0,0,Radial Velocity,1765.0389,1.67709,-1.87256,0,2.774,0.109,-0.12,0,155,,,0,12.6,,,0,2559.47216,518.69596,-280.64248,0,7.03,,,0,0.373,0.008,-0.006,0,2456834.4,1.7,-1.9,0,,,,,,,,,,,,,0.93,0.01,-0.01,0,0.91,0.11,-0.11,0,4.45,0.02,-0.02,0,1.27393,0.34953,-0.30728,0,1,,,1,,,,,-13.82,0,0,0,17.9323,0.0073,-0.0073
5,16 Cyg B b,16 Cyg B,3,1,0,0,Radial Velocity,798.5,1,-1,0,1.66,0.03,-0.03,0,78.5,,,0,13.5,,,0,565.7374,25.4264,-25.4264,0,1.26,,,0,0.68,0.02,-0.02,0,2456937.32,0.38,-0.38,0,,,,,,,,,,,,,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,4.36,0.01,-0.01,0,1.01103,0.29273,-0.20081,0,2.7,1,-1,0,,,,,-28.1,0.1,-0.1,0,21.1397,0.011,-0.0111
6,17 Sco b,17 Sco,1,1,0,0,Radial Velocity,578.38,2.01,-2.09,0,1.45,0.02,-0.02,0,11.6,,,0,12.9,,,0,1373.01872,47.67426,-38.13941,0,3.51,,,0,0.06,0.03,-0.02,0,,,,,,,,,,,,,,,,,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,1.7,0.04,-0.06,0,,,,,3.98,1.11,-1.11,0,329.49,92.4,-92.4,1,,,,,124.953,2.59,-2.59
7,18 Del b,18 Del,2,1,0,0,Radial Velocity,982.85,1.06,-0.92,0,2.476,0.002,-0.002,0,32.5,,,0,12.5,,,0,2926.24614,50.85255,-24.47279,0,8.23,,,0,0.024,0.007,-0.018,0,,,,,,,,,,,,,,,,,8.8,0.61,-0.4,0,2.1,0.13,-0.09,0,2.87,0.03,-0.05,0,,,,,,,,,,,,,4.35,0.15,-0.15,0,76.222,0.6217,-0.6217
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,0,Imaging,,,,,330,,,0,2370,,,0,18.647,,,0,3000,300,-300,0,2.54,,,0,,,,,,,,,,,,,,,,,,,,,1.31,0.18,-0.1,0,0.85,0.2,-0.1,0,4,0.14,-0.1,0,0.38789,0.18019,-0.10697,0,,,,,,,,,,,,,139.135,1.332,-1.307
9,24 Boo b,24 Boo,1,1,0,0,Radial Velocity,30.33,0,-0.01,0,0.194,0,0,0,2.02,,,0,13.9,,,0,280.64248,11.44182,-13.66662,0,0.574,,,0,0.032,0.039,-0.023,0,,,,,,,,,,,,,,,,,12.19,1.45,-1.28,0,1.05,0.27,-0.18,0,2.28,0.09,-0.07,0,,,,,3.36,,,0,,,,,-7.77,0.15,-0.15,0,95.9863,0.63685,-0.63685
10,24 Sex b,24 Sex,1,2,0,0,Radial Velocity,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,18.5,,,0,13.4,,,0,632.46,82.63,-120.77,0,1.44,,,0,0.09,0.14,-0.06,0,,,,,,,,,,,,,,,,,4.9,0.08,-0.08,0,1.54,0.08,-0.08,0,3.5,0.1,-0.1,0,,,,,2.77,0.5,-0.5,0,,,,,7.29,0.18,-0.18,0,72.0691,0.6854,-0.6728
11,24 Sex c,24 Sex,1,2,0,0,Radial Velocity,883,32.4,-13.8,0,2.08,0.05,-0.02,0,28.9,,,0,13.9,,,0,273.32,111.24,-69.92,0,0.559,,,0,0.29,0.16,-0.09,0,,,,,,,,,,,,,,,,,4.9,0.08,-0.08,0,1.54,0.08,-0.08,0,3.5,0.1,-0.1,0,,,,,2.77,0.5,-0.5,0,,,,,7.29,0.18,-0.18,0,72.0691,0.6854,-0.6728
12,2M0437 b,2MASS J04372171+2651014,1,1,0,0,Imaging,,,,,118,1.3,-1.3,0,918,,,0,13,,,0,1271.31363,317.82841,-317.82841,0,3.18,,,0,,,,,,,,,,,,,,,,,,,,,0.84,0.11,-0.11,0,0.17,0.01,-0.02,0,4.5,0.5,-0.5,0,3.32018,0.18984,-0.18984,0,22.54,0.14,-0.14,0,1.84,,,0,17.1,0.3,-0.3,0,128.484,1.196,-1.174
13,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,1,Imaging,,,,,84,,,0,1780,,,0,12.3,,,0,4131.79,317.83,-317.83,0,12.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.02,-0.02,0,,,,,,,,,,,,,,,,,,,,,47.2,3.1,-3.1
14,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,0,Imaging,,,,,52,6,-6,0,1540,,,0,11.209,,,0,7786.5,794.5,-794.5,0,30.4,,,0,,,,,,,,,,,,,,,,,,,,,0.37,0.01,-0.01,0,0.4,0.05,-0.05,0,4.86,0,0,0,10.11868,0.33916,-0.33916,0,,,,,,,,,9.6,0.7,-0.7,0,33.8281,0.0864,-0.086
15,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,0,Imaging,,,,,156,10,-10,0,3890,,,0,16.141,0.336,-0.336,0,4417.837,349.613,-349.613,0,5.77,,,0,,,,,,,,,,,,,,,,,,,,,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0,4.59,0.06,-0.06,0,17.67076,0.13736,-0.13736,0,6.5,0.4,-0.4,0,,,,,10.6,0.7,-0.7,0,40.0896412,0.1940496,-0.1940496
16,2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,0,1,Imaging,,,,,1950,200,-200,0,29500,,,0,12.4,,,0,3686.80952,413.17693,-317.82841,0,10.6,,,0,,,,,,,,,,,,,,,,,,,,,0.32,0.01,-0.01,0,0.05,0.01,-0.01,0,4.91,0,0,0,13.18121,0.29571,-0.29571,0,,,,,,,,,,,,,66.0613,0.4543,-0.4482
17,2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,0,0,Imaging,,,,,572,7,-7,0,4870,,,0,12.2,,,0,5720.91133,317.82841,-317.82841,0,17.3,,,0,,,,,,,,,,,,,,,,,,,,,0.29,0.01,-0.01,0,0.26,0.02,-0.02,0,4.94,0,0,0,15.35385,0.38284,-0.38284,0,,,,,,,,,,,,,117.435,2.32,-2.233
18,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,0,Imaging,,,,,15,,,0,125,,,0,12.6,,,0,2383.6,794.5,-794.5,0,6.55,,,0,,,,,,,,,,,,,,,,,,,,,0.23,0.01,-0.01,0,0.02,,,0,5.01,0,0,0,22.7811,0.87304,-0.87304,0,,,,,,,,,,,,,120.423987,5.4783417,-5.4783417
19,2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,0,0,Imaging,,,,,266,8,-8,0,,,,,11.9,,,0,8899.1954,3178.28407,-2224.79885,0,29,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,0,0,Imaging,,,,,587,2,-2,0,5820,,,0,12.1,,,0,6356.56814,317.82841,-317.82841,0,19.7,,,0,,,,,,,,,,,,,,,,,,,,,0.6,0.02,-0.02,0,0.59,0.02,-0.02,0,4.65,0.01,-0.01,0,3.83213,0.21108,-0.21108,0,,,,,,,,,,,,,100.862,0.603,-0.596
21,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,0,Imaging,,,,,55,,,0,855,,,0,12.9,,,0,1589.15,635.66,-635.66,0,4.07,,,0,,,,,,,,,,,,,,,,,,,,,0.22,0.01,-0.01,0,0.02,,,0,5.03,0.02,-0.02,0,25.27945,0.31101,-0.31101,0,,,,,,,,,,,,,64.308,0.6569,-0.644
22,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,1,Eclipse Timing Variations,406,4,-4,0,0.92,0.02,-0.02,0,2.32,,,0,13.4,,,0,603.877,31.783,-31.783,0,1.38,,,0,0.33,0.05,-0.05,0,,,,,,,,,,,,,,,,,0.2,0,0,0,0.48,,,0,5.51,0.01,-0.01,0,,,,,,,,,,,,,,,,,396.332,6.3885,-6.3885
23,2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,0,0,Imaging,,,,,7493,11,-11,0,220000,,,0,12.4,,,0,3813.94088,317.82841,-317.82841,0,11,,,0,,,,,,,,,,,,,,,,,,,,,0.67,0.02,-0.02,0,0.64,0.02,-0.02,0,4.59,0.01,-0.01,0,2.98068,0.1828,-0.1828,0,,,,,,,,,,,,,34.1154,0.0811,-0.0807
24,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,0,Imaging,,,,,230,20,-20,0,3310,,,0,12.3,,,0,3972.875,476.745,-476.745,0,11.7,,,0,,,,,,,,,,,,,,,,,,,,,0.64,0.06,-0.06,0,0.6,0.05,-0.05,0,4.62,0.09,-0.13,0,3.36994,1.23396,-1.05769,0,,,,,,,,,-21.5,0.2,-0.2,0,69.5737,0.1592,-0.1585
25,30 Ari B b,30 Ari B,4,1,0,0,Radial Velocity,335.10001,2.5,-2.5,0,0.99,0.02,-0.02,0,22.2,,,0,12.3,,,0,4392.4106,572.094,-572.094,0,13,,,0,0.29,0.09,-0.09,0,,,,,,,,,,,,,,,,,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0,4.43,0.05,-0.05,0,0.743,0.21937,-0.12864,0,38.3,1.8,-1.8,0,,,,,12.89,0.61,-0.61,0,44.657,0.1039,-0.1034
26,4 UMa b,4 UMa,1,1,0,0,Radial Velocity,270.27,0.24,-0.09,0,0.877,0.001,0,0,11.9,,,0,12.6,,,0,2511.48007,63.24785,-120.13914,0,6.9,,,0,0.453,0.021,-0.036,0,,,,,,,,,,,,,,,,,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0,1.8,0.15,-0.15,0,,,,,,,,,,,,,14.62,0.14,-0.14,0,73.4603,1.18605,-1.18605
27,42 Dra b,42 Dra,2,1,0,0,Radial Velocity,479.1,6.2,-6.2,0,1.19,0.01,-0.01,0,13.1,,,0,13,,,0,1233.13,270.14,-270.14,0,3.08,,,0,0.38,0.06,-0.06,0,,,,,,,,,,,,,,,,,22.03,1,-1,0,0.98,0.05,-0.05,0,1.71,0.05,-0.05,0,,,,,1,,,1,,,,,31.79,0.32,-0.32,0,90.6545,1.3227,-1.3227
28,47 UMa b,47 UMa,1,3,0,0,Radial Velocity,1078,2,-2,0,2.1,0.02,-0.02,0,152,,,0,13.2,,,0,804.08,22.25,-19.07,0,1.92,,,0,0.032,0.014,-0.014,0,2454415.6,3,-2.9,0,,,,,,,,,,,,,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,4.3,0.07,-0.07,0,0.83662,0.15924,-0.15376,0,2.8,,,0,,,,,11.22,0,0,0,13.7967,0.0289,-0.0289
29,47 UMa c,47 UMa,1,3,0,0,Radial Velocity,2391,100,-87,0,3.6,0.1,-0.1,0,261,,,0,14.2,,,0,171.621,20.976,-23.201,0,0.329,,,0,0.098,0.047,-0.096,0,2455651,59,-46,0,,,,,,,,,,,,,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,4.3,0.07,-0.07,0,0.83662,0.15924,-0.15376,0,2.8,0.5,-0.5,0,,,,,11.22,0,0,0,13.7967,0.0289,-0.0289
30,47 UMa d,47 UMa,1,3,0,0,Radial Velocity,14002,4018,-5095,0,11.6,2.1,-2.9,0,841,,,0,13.5,,,0,521.22,92.17,-152.55,0,1.16,,,0,0.16,0.09,-0.16,0,2451820,170,-200,0,,,,,,,,,,,,,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,4.3,0.07,-0.07,0,0.83662,0.15924,-0.15376,0,2.8,0.5,-0.5,0,,,,,11.22,0,0,0,13.7967,0.0289,-0.0289
31,51 Eri b,51 Eri,3,1,0,0,Imaging,11688,6209.25,-3287.25,0,13.2,0.2,-0.2,0,444,,,0,13.4,,,0,635.66,,,0,1.45,,,0,0.45,0.1,-0.15,0,,,,,,,,,,,,,,,,,1.49,0.05,-0.06,0,1.75,0.05,-0.05,0,4.31,0.09,-0.07,0,0.70712,0.15974,-0.13468,0,65.19,0.14,-0.17,0,,,,,17.3,3,-3,0,29.7575,0.1213,-0.1203
32,51 Peg b,51 Peg,1,1,0,0,Radial Velocity,4.230785,0.000036,-0.000036,0,0.0527,0.003,-0.003,0,3.41,,,0,14.3,,,0,146.2018,19.0698,-3.1783,0,0.275,,,0,0.013,0.012,-0.012,0,2455705.001,0.006,-0.006,0,,,,,,,,,,,,,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0,4.31,0.08,-0.06,0,0.89374,0.19619,-0.15014,0,2.2,1,-1,0,30,,,0,-33.25,0,0,0,15.4614,0.0297,-0.0297
33,55 Cnc b,55 Cnc,2,5,0,0,Radial Velocity,14.6516,0.0001,-0.0001,0,0.1134,0.0006,-0.0006,0,9.01,,,0,13.9,,,0,263.9785,1.0488,-1.0488,0,0.54,,,0,0,0.01,-0.01,0,2455803.293,0.014,-0.014,0,,,,,,,,,,,,,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,4.43,0.02,-0.02,0,1.41851,0.53787,-0.21745,0,1.23,0.01,-0.01,1,38.8,0.05,-0.05,0,27.25,0.01,-0.01,0,12.5855,0.0124,-0.0123
34,55 Cnc c,55 Cnc,2,5,0,0,Radial Velocity,44.3989,0.0042,-0.0043,0,0.2373,0.0013,-0.0013,0,18.9,,,0,8.51,,,0,54.4738,1.748,-1.748,0,0.486,,,0,0.03,0.02,-0.02,0,2455846.83,0.43,-0.48,0,,,,,,,,,,,,,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,4.43,0.02,-0.02,0,1.41851,0.53787,-0.21745,0,1.23,0.01,-0.01,1,38.8,0.05,-0.05,0,27.41,0,0,0,12.5855,0.0124,-0.0123
35,55 Cnc d,55 Cnc,2,5,0,0,Radial Velocity,5574.2,93.8,-88.6,0,5.957,0.074,-0.071,0,473,,,0,13,,,0,1232.493,21.612,-21.612,0,3.08,,,0,0.13,0.02,-0.02,0,2455790,120,-91,0,,,,,,,,,,,,,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,4.43,0.02,-0.02,0,1.41851,0.53787,-0.21745,0,1.23,0.01,-0.01,1,38.8,0.05,-0.05,0,27.25,0.01,-0.01,0,12.5855,0.0124,-0.0123
36,55 Cnc e,55 Cnc,2,5,0,0,Radial Velocity,0.7365474,0.0000013,-0.0000014,0,0.01544,0.00005,-0.00005,0,1.23,,,0,1.875,0.029,-0.029,0,7.99,0.32,-0.33,0,6.66,0.43,-0.4,0,0.05,0.03,-0.03,0,2457063.21,0.0006,-0.0004,0,1.555016,0.0273325,-0.0273325,0,0.0182,0.0002,-0.0002,0,,,,,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,4.43,0.02,-0.02,0,1.5212,0.00705,-0.00705,0,1.23,0.01,-0.01,1,38.8,0.05,-0.05,0,27.41,0,0,0,12.5855,0.0124,-0.0123
37,55 Cnc f,55 Cnc,2,5,0,0,Radial Velocity,259.88,0.29,-0.29,0,0.7708,0.0043,-0.0044,0,61.2,,,0,7.59,,,0,44.812,3.814,-3.814,0,0.563,,,0,0.08,0.05,-0.04,0,2456020.7,5.2,-6.1,0,,,,,,,,,,,,,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,4.43,0.02,-0.02,0,1.41851,0.53787,-0.21745,0,1.23,0.01,-0.01,1,38.8,0.05,-0.05,0,27.41,0,0,0,12.5855,0.0124,-0.0123
38,6 Lyn b,6 Lyn,1,1,0,0,Radial Velocity,919.86,1.92,-3.71,0,2.028,0.003,-0.005,0,37.1,,,0,13.4,,,0,597.83523,12.07748,-28.28673,0,1.37,,,0,0.042,0.024,-0.032,0,,,,,,,,,,,,,,,,,4.94,0.55,-0.5,0,1.32,0.2,-0.21,0,3.16,0.08,-0.08,0,,,,,1.32,,,0,,,,,39.7,0.13,-0.13,0,54.6599,0.2734,-0.2734
39,61 Vir b,61 Vir,1,3,0,0,Radial Velocity,4.215,0.0006,-0.0006,0,0.050201,0.000005,-0.000005,0,5.9,,,0,2.11,,,0,5.1,0.5,-0.5,0,2.98,,,0,0.12,0.11,-0.11,0,2455200.7,0.14,-0.11,0,,,,,,,,,,,,,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,4.34,0.03,-0.03,0,1.44933,0.29611,-0.27877,0,1.9,,,0,,,,,-8.2,0.1,-0.1,0,8.50332,0.01737,-0.0173
40,61 Vir c,61 Vir,1,3,0,0,Radial Velocity,38.021,0.034,-0.034,0,0.2175,0.0001,-0.0001,0,25.6,,,0,4.46,,,0,18.2,1.1,-1.1,0,1.13,,,0,0.14,0.06,-0.06,0,2454922.48,0.69,-0.65,0,,,,,,,,,,,,,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,4.34,0.03,-0.03,0,1.44933,0.29611,-0.27877,0,1.9,,,0,,,,,-8.2,0.1,-0.1,0,8.50332,0.01737,-0.0173
41,61 Vir d,61 Vir,1,3,0,0,Radial Velocity,123.01,0.55,-0.55,0,0.476,0.001,-0.001,0,56,,,0,5.11,,,0,22.9,2.6,-2.6,0,0.943,,,0,0.35,0.09,-0.09,0,,,,,,,,,,,,,,,,,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,4.34,0.03,-0.03,0,1.44933,0.29611,-0.27877,0,1.9,,,0,,,,,-8.2,0.1,-0.1,0,8.50332,0.01737,-0.0173
42,7 CMa b,7 CMa,1,2,0,0,Radial Velocity,735.1,14.8,-1,0,1.758,0.024,-0.001,0,88.7,,,0,13.4,,,0,587.9855,19.0698,-19.0698,0,1.34,,,0,0.06,0.03,-0.03,0,,,,,,,,,,,,,,,,,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,3.19,0.06,-0.07,0,,,,,1.15,,,0,,,,,,,,,19.8101,0.1648,-0.1648
43,7 CMa c,7 CMa,1,2,0,0,Radial Velocity,996,1.5,-52.4,0,2.153,0.003,-0.08,0,109,,,0,13.9,,,0,276.5121,19.0698,-19.0698,0,0.566,,,0,0.08,0.05,-0.04,0,,,,,,,,,,,,,,,,,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,3.19,0.06,-0.07,0,,,,,1.15,,,0,,,,,,,,,19.8101,0.1648,-0.1648
44,70 Vir b,70 Vir,1,1,0,0,Radial Velocity,116.688,0.0054,-0.0054,0,0.481,0.022,-0.022,0,26.9,,,0,12.6,,,0,2380.45,193.87,-193.87,0,6.54,,,0,0.3988,0.0019,-0.0019,0,2455656.682,0.047,-0.047,0,,,,,,,,,,,,,1.89,,,0,1.09,,,0,3.95,,,0,0.19024,0.05019,-0.03211,0,1.56,0.5,-0.5,0,,,,,4.95,0,0,0,17.9011,0.056,-0.0557
45,75 Cet b,75 Cet,2,2,0,0,Radial Velocity,696.62,1.33,-1.69,0,1.912,0.002,-0.003,0,23,,,0,13.3,,,0,787.89662,23.5193,-28.60456,0,1.84,,,0,0.093,0.026,-0.042,0,,,,,,,,,,,,,,,,,10.38,0.15,-0.26,0,1.92,0.07,-0.08,0,2.69,0.03,-0.04,0,,,,,1.77,,,0,,,,,-6.21,0.13,-0.13,0,82.9613,0.72365,-0.72365
46,75 Cet c,75 Cet,2,2,0,0,Radial Velocity,2051.62,45.98,-40.47,0,3.929,0.058,-0.052,0,47.4,,,0,13.9,,,0,289.85951,27.9689,-45.44946,0,0.593,,,0,0.023,0.191,-0.003,0,,,,,,,,,,,,,,,,,10.38,0.15,-0.26,0,1.92,0.07,-0.08,0,2.69,0.03,-0.04,0,,,,,1.77,,,0,,,,,-6.21,0.13,-0.13,0,82.9613,0.72365,-0.72365
47,8 UMi b,8 UMi,1,1,0,0,Radial Velocity,93.4,4.5,-4.5,0,0.49,0.02,-0.02,0,3.01,,,0,13.6,,,0,416.3573,50.8528,-50.8528,0,0.91,,,0,0.06,0.09,-0.09,0,,,,,,,,,,,,,,,,,10.3,0.57,-0.57,0,1.44,0.19,-0.19,0,2.57,0.03,-0.03,0,,,,,3.6,,,0,,,,,-9.2,0.14,-0.14,0,162.552,0.651,-0.646
48,81 Cet b,81 Cet,1,1,0,0,Radial Velocity,1005.57,1.84,-1.94,0,2.104,0.003,-0.003,0,20.8,,,0,13.1,,,0,1051.05854,24.79062,-21.2945,0,2.57,,,0,0.037,0.015,-0.025,0,,,,,,,,,,,,,,,,,11.21,0.81,-0.35,0,1.23,0.3,-0.25,0,2.41,0.07,-0.06,0,,,,,1.8,,,0,,,,,9.25,0.13,-0.13,0,101.26,1.222,-1.222
49,91 Aqr b,91 Aqr,3,1,0,0,Radial Velocity,181.4,0.1,-0.1,0,0.7,,,0,15.9,,,0,13.1,,,0,1017,,,0,2.49,,,0,0.027,0.026,-0.026,0,,,,,,,,,,,,,,,,,11,0.1,-0.1,0,1.4,0.1,-0.1,0,2.52,0.05,-0.05,0,,,,,3.9,0.5,-0.5,0,,,,,-25.75,0.07,-0.07,0,44.0304,0.51325,-0.51325
50,AB Aur b,AB Aur,1,1,0,0,Imaging,,,,,93.9,49.3,-49.3,0,579,,,0,12.5,,,0,2860.45566,,,0,8.05,,,0,0.4,0.2,-0.21,0,,,,,,,,,,,,,,,,,2.96,0.1,-0.07,0,2.4,0.2,-0.2,0,3.77,0.09,-0.07,0,0.1033,0.0235,-0.01746,0,,,,,,,,,,,,,162.127,1.526,-1.498
51,AB Pic b,AB Pic,1,1,0,0,Imaging,,,,,260,,,0,5200,,,0,12.3,,,0,4290.5,158.9,-158.9,0,12.7,,,0,,,,,,,,,,,,,,,,,,,,,1,0.03,-0.02,0,0.9,0.1,-0.1,0,4.53,0.01,-0.01,0,1.12014,0.34583,-0.23385,0,10.35,0.06,-0.04,0,,,,,22.2,0.3,-0.3,0,50.0475,0.0735,-0.0733
52,AF Lep b,AF Lep,1,1,0,0,Imaging,8030,1800,-1800,0,8.4,1.1,-1.3,0,313,,,0,13.1,,,0,1017.0509,222.47988,-190.69704,0,2.49,,,0,0.24,0.27,-0.15,0,2456700,800,-1200,0,,,,,,,,,,,,,1.25,0.06,-0.06,0,1.2,0.06,-0.06,0,4.4,,,0,1.45415,0.28981,-0.32083,0,50,5,-5,0,1.01,0.01,-0.01,0,22.8,1.5,-1.5,0,26.8564,0.0189,-0.0188
53,AU Mic b,AU Mic,1,3,0,0,Transit,8.4629991,,,0,0.0645,0.0013,-0.0013,0,6.63,,,0,3.957,0.146,-0.146,0,20.12,1.57,-1.72,0,1.32,0.19,-0.2,0,0.186,0.036,-0.035,0,2458330.39,,,0,3.4927,0.0074,-0.0067,0,0.0496,0.0007,-0.0007,0,,,,,0.82,0.02,-0.02,0,0.5,0.03,-0.03,0,4.4,0.03,-0.03,0,1.75,0.14,-0.16,0,8.5,0.2,-0.2,0,4.86,0,0,0,-6.31,0.29,-0.29,0,9.7221,0.004625,-0.004625
54,AU Mic c,AU Mic,1,3,0,0,Transit,18.858991,,,0,0.1101,0.002,-0.002,0,11.3,,,0,3.24,0.16,-0.16,0,9.6,2.07,-2.31,0,1.22,0.26,-0.29,0,0.00338,0.00164,-0.00164,0,2458342.224,,,0,4.236,0.029,-0.029,0,0.0395,0.0011,-0.0011,0,,,,,0.82,0.02,-0.02,0,0.5,0.03,-0.03,0,4.4,0.03,-0.03,0,1.75,0.14,-0.16,0,8.5,0.2,-0.2,0,4.86,0,0,0,-6.31,0.29,-0.29,0,9.7221,0.004625,-0.004625
55,AU Mic d,AU Mic,1,3,0,0,Transit Timing Variations,12.73596,0.00793,-0.00793,0,,,,,,,,,1.02,,,0,1.053,0.511,-0.511,0,5.45,,,0,0.00305,0.00104,-0.00104,0,,,,,,,,,,,,,,,,,0.74,0.02,-0.02,0,0.51,0.03,-0.03,0,4.4,0.03,-0.03,0,1.75,0.14,-0.16,0,8.5,0.2,-0.2,0,4.86,0,0,0,-6.31,0.29,-0.29,0,9.7221,0.004625,-0.004625
56,BD+03 2562 b,BD+03 2562,1,1,0,0,Radial Velocity,481.9,2.7,-2.8,0,1.3,0.1,-0.1,0,1.21,,,0,12.7,,,0,2034.112,413.179,-413.179,0,5.46,,,0,0.2,0.12,-0.08,0,,,,,,,,,,,,,,,,,32.35,8.82,-8.82,0,1.14,0.25,-0.25,0,1.89,0.1,-0.1,0,,,,,2.7,0.3,-0.3,0,,,,,50.88,0.06,-0.06,0,1070.63,63.875,-63.875
57,BD+14 4559 b,BD+14 4559,1,1,0,0,Radial Velocity,268.94,0.99,-0.99,0,0.78,0.05,-0.05,0,15.8,,,0,13.8,,,0,330.5432,149.3801,-149.3801,0,0.691,,,0,0.29,0.03,-0.03,0,,,,,,,,,,,,,,,,,0.86,0.04,-0.04,0,0.49,0.33,-0.33,0,4.26,0.29,-0.29,0,1.73113,0.52364,-0.50875,0,2.5,1,-1,0,,,,,-44.3,0.3,-0.3,0,49.352,0.0846,-0.0844
58,BD+15 2375 b,BD+15 2375,1,1,0,0,Radial Velocity,153.22,0.44,-0.44,0,0.576,0.027,-0.027,0,0.75,,,0,13.8,,,0,337.21763,85.8141,-85.8141,0,0.705,,,0,0.001,0.25,-0.001,0,,,,,,,,,,,,,,,,,8.95,1.45,-1.45,0,1.08,0.14,-0.14,0,2.61,0.12,-0.12,0,,,,,2.5,0.5,-0.5,0,,,,,-9.65,0.03,-0.03,0,768.045,45.038,-45.038
